Age (months),Gender,Region,Mother_Education,Household_Wealth_Index,Height_cm,Weight_kg
54,1,2,0,1,61.0,15.3
32,1,2,2,2,91.4,17.1
50,1,3,2,2,81.4,7.3
36,0,4,1,0,62.0,7.2
3,1,3,2,1,81.0,15.6
13,0,0,2,0,74.4,18.7
44,0,0,1,0,102.8,10.9
6,0,1,1,1,105.8,11.3
11,0,1,2,1,62.3,11.0
59,0,3,3,0,77.2,13.9
51,1,0,3,1,86.4,7.4
47,0,2,3,2,92.7,8.6
22,1,4,2,1,109.9,7.9
34,1,0,0,1,108.1,15.8
20,1,2,1,0,74.1,7.1
33,1,4,0,0,72.9,17.2
29,1,1,3,0,61.5,6.7
58,0,4,3,0,108.2,5.1
51,1,1,3,2,96.5,10.7
13,0,1,2,1,82.6,7.7
58,0,0,3,0,80.8,11.0
6,1,3,1,2,70.5,17.5
35,0,3,3,1,106.3,8.3
3,1,1,0,0,77.0,17.8
37,0,3,0,1,68.3,18.5
37,1,0,3,2,83.3,11.0
16,0,3,1,0,109.1,19.1
3,1,0,0,1,76.7,11.0
38,1,0,2,1,72.0,19.8
32,1,0,1,0,109.2,10.8
41,1,3,2,1,101.1,6.9
18,1,3,2,0,103.8,19.0
17,1,4,1,1,98.0,17.4
2,0,4,1,1,83.0,13.0
4,0,3,3,1,92.8,7.6
1,0,1,0,1,70.6,12.3
59,1,1,0,2,90.9,15.5
29,1,0,0,1,103.2,15.4
37,0,1,1,2,62.0,13.2
25,1,1,1,2,73.5,14.3
35,1,2,2,2,85.0,8.2
27,1,1,2,2,90.2,10.5
32,0,2,2,0,66.1,15.0
21,1,3,1,1,74.5,18.9
21,1,0,3,0,108.7,14.5
45,1,3,0,0,89.6,8.8
1,1,0,1,0,93.8,10.3
47,0,3,1,0,98.4,7.1
54,0,0,3,2,93.4,5.8
37,1,3,0,2,109.7,17.2
53,1,4,3,1,61.3,11.4
53,0,0,3,0,89.2,15.0
6,1,4,1,2,104.0,10.3
6,0,2,2,0,106.8,8.0
58,1,2,3,2,105.9,11.2
9,1,0,3,1,63.1,15.7
26,1,4,0,2,73.8,11.5
14,1,3,3,0,104.0,6.0
7,1,3,2,1,77.5,13.7
10,0,3,2,1,84.3,16.7
47,1,2,2,2,94.8,5.8
18,1,2,0,2,100.9,12.8
8,0,2,1,0,102.6,10.8
21,1,2,1,2,108.3,19.8
1,1,0,1,0,62.2,8.5
3,1,4,1,1,101.6,15.0
18,1,0,1,1,93.9,11.7
16,1,1,0,1,86.1,11.8
55,1,1,3,0,70.0,14.7
38,0,0,3,1,73.9,16.8
35,0,0,2,2,103.1,16.2
16,1,4,0,1,90.5,14.3
49,0,2,1,2,108.8,5.8
14,1,2,3,1,78.4,9.1
49,1,1,0,1,95.5,18.9
24,1,3,3,2,98.6,11.6
56,1,4,3,0,70.2,6.8
54,0,4,3,1,97.7,5.5
4,1,4,2,2,62.2,11.1
44,1,1,1,2,84.5,11.4
50,1,0,0,2,68.7,11.8
59,0,4,0,2,88.7,10.0
48,1,3,2,2,67.0,10.6
30,1,1,1,2,77.1,18.5
28,1,3,1,0,89.3,7.6
3,1,0,3,1,80.6,8.1
40,0,3,0,0,94.7,19.4
59,0,4,1,0,96.9,5.2
23,0,0,1,0,75.0,9.7
57,0,3,2,2,89.0,17.3
44,1,0,3,2,90.1,5.2
6,1,0,3,1,96.5,11.3
12,1,4,1,1,102.4,15.6
34,1,4,1,2,98.4,15.7
33,0,3,3,0,88.8,10.5
31,1,1,0,2,84.1,19.2
33,0,4,0,1,73.2,17.8
18,0,0,3,1,88.4,9.2
7,0,1,0,2,94.0,12.8
49,1,2,3,2,90.4,9.3
17,1,0,1,0,90.9,17.1
20,0,4,3,1,85.3,18.0
52,1,0,0,1,96.3,19.3
41,1,1,0,1,89.8,14.8
31,0,1,0,0,78.1,6.5
53,1,3,1,0,63.5,11.4
47,0,0,0,1,63.7,9.6
45,0,0,1,0,85.2,12.8
21,0,2,3,1,105.3,11.5
21,0,0,0,2,71.6,10.2
6,0,0,0,2,79.9,15.7
48,0,3,3,2,88.1,9.0
22,1,0,2,1,102.9,10.1
20,1,3,3,1,105.0,15.6
58,0,1,0,2,60.1,13.0
29,0,1,2,1,81.5,12.8
14,1,0,2,0,91.0,15.0
37,0,1,3,2,104.5,14.5
20,1,2,1,1,75.1,15.5
12,0,4,3,1,81.4,8.3
38,0,1,3,2,73.4,10.7
22,0,3,0,2,97.0,7.1
19,1,2,1,0,68.4,15.4
51,1,0,1,0,61.8,11.1
19,0,2,3,0,70.6,8.5
10,1,2,2,2,108.0,12.5
18,0,2,0,0,103.3,17.2
56,1,2,1,2,75.5,19.2
16,0,4,0,1,76.1,11.5
27,1,1,0,1,67.3,10.2
21,1,4,3,2,108.4,19.0
58,1,3,3,2,66.4,11.5
2,1,3,3,1,96.2,12.1
10,1,0,1,0,72.6,8.0
0,0,4,1,0,88.8,5.7
2,1,4,0,0,64.3,5.3
59,0,2,2,1,96.8,14.4
0,1,2,0,2,61.4,7.1
9,0,4,2,1,88.4,19.7
25,0,0,0,0,76.7,7.0
16,1,1,1,1,73.0,19.5
4,1,1,1,2,73.5,13.4
23,0,4,2,0,99.2,19.4
6,1,4,2,2,91.3,15.3
50,0,0,1,1,97.5,13.2
18,1,3,1,0,95.6,18.4
7,1,1,3,1,91.7,16.2
39,1,0,0,0,89.1,17.2
37,1,0,1,1,88.6,17.3
40,1,0,3,0,71.0,12.6
0,0,0,0,2,86.4,9.1
45,1,3,2,2,103.0,12.5
36,0,3,2,1,71.8,16.1
24,1,3,3,0,100.3,11.3
31,1,3,1,2,104.6,11.7
55,0,4,3,2,66.7,15.4
10,0,2,2,2,98.8,13.4
31,1,0,2,1,72.3,19.2
20,0,1,3,1,96.8,8.5
16,0,3,1,0,73.4,11.8
16,1,1,1,0,60.0,17.3
59,1,3,1,0,76.8,19.4
6,1,0,3,1,107.9,8.3
1,0,4,1,2,83.8,11.4
39,1,1,3,1,105.4,8.1
34,0,0,3,2,81.2,7.1
31,0,3,3,0,62.4,7.3
2,0,3,3,0,108.5,7.8
25,1,2,0,1,81.4,6.7
54,1,0,3,0,91.5,19.1
25,1,1,0,2,76.3,8.0
23,0,0,3,2,78.5,7.6
40,1,1,1,0,72.5,5.7
26,0,1,3,0,105.9,17.9
21,1,0,1,0,100.4,5.1
3,0,4,2,0,72.4,10.0
43,1,0,0,0,106.3,11.9
38,0,1,0,2,87.4,14.3
18,1,2,0,0,78.7,9.2
47,1,3,3,2,105.5,13.0
30,0,0,1,0,62.5,16.8
45,0,1,3,1,73.2,10.3
12,0,2,0,0,103.5,12.9
42,0,4,1,0,93.7,8.0
8,1,3,2,2,67.7,12.4
0,1,1,2,0,73.5,13.5
0,1,4,1,0,87.5,13.0
1,0,4,3,0,90.0,7.0
26,0,4,1,0,70.6,11.4
51,0,0,1,2,73.2,13.4
46,1,4,1,1,70.0,6.9
50,1,1,1,1,109.2,9.2
26,0,3,1,2,84.3,11.7
47,0,1,3,1,99.5,7.2
1,0,0,2,2,60.8,13.0
56,1,3,1,2,90.6,18.8
22,0,4,0,1,94.1,5.2
24,0,3,3,1,81.3,11.7
1,0,3,2,0,73.7,12.2
0,0,3,0,0,78.9,10.4
19,1,3,3,2,81.5,11.1
23,0,4,3,1,99.1,8.8
39,0,0,2,2,84.8,5.8
46,1,1,2,0,74.4,6.3
8,0,3,2,2,88.4,8.0
37,1,2,0,0,68.5,15.9
35,0,2,2,2,74.7,8.0
40,0,0,0,2,108.3,8.2
36,1,2,2,1,63.3,10.9
18,0,4,0,1,65.2,9.2
57,1,2,1,1,86.1,14.2
12,1,2,3,2,71.8,16.2
24,0,3,3,2,65.5,6.1
27,0,1,3,1,105.5,14.2
19,1,1,1,2,69.5,18.0
58,1,3,3,1,97.3,5.6
46,1,3,2,0,105.6,13.4
29,1,0,3,2,67.2,18.1
5,1,3,1,2,100.7,16.8
47,1,0,2,2,78.8,18.7
27,0,3,3,0,73.6,10.6
11,0,4,2,1,103.6,5.7
29,0,3,3,1,76.1,5.1
16,1,1,1,1,109.2,16.8
27,0,1,0,0,94.4,13.0
26,1,3,2,0,65.9,9.2
38,0,0,0,0,71.7,15.5
51,0,0,2,2,92.2,10.2
40,1,2,3,2,104.3,18.0
26,1,0,0,2,99.0,11.8
57,1,1,2,0,92.5,13.8
59,0,2,0,0,66.6,5.7
34,0,0,2,0,74.6,8.4
2,1,0,2,0,75.0,9.7
17,0,1,0,0,108.0,17.1
1,1,1,3,1,101.2,17.4
28,1,3,3,2,66.2,5.2
56,0,2,0,1,69.8,18.1
28,1,0,0,2,78.3,17.5
58,0,2,1,1,93.8,19.8
22,1,2,0,1,90.3,7.5
14,0,0,2,0,92.6,5.5
19,1,1,0,0,99.9,20.0
56,1,0,3,0,65.0,10.3
46,1,1,1,2,74.2,8.5
51,1,4,1,0,62.5,5.9
43,0,1,2,0,75.8,17.6
59,1,4,3,0,72.9,14.8
1,0,0,1,1,70.5,9.6
40,0,4,2,2,70.2,18.5
43,1,2,2,1,88.2,12.8
52,0,3,1,1,91.6,6.9
9,1,2,1,1,104.1,7.0
47,0,4,3,1,94.2,6.1
55,0,4,3,2,100.3,8.2
9,0,0,3,1,76.0,19.9
24,1,4,3,2,99.5,5.7
57,0,1,2,1,88.5,11.0
25,0,1,1,1,109.3,6.4
34,1,1,3,0,102.0,8.1
9,0,2,0,0,77.8,7.7
57,0,3,3,1,82.5,8.6
59,1,1,3,1,71.9,11.0
16,0,1,0,0,61.9,9.4
59,0,3,1,1,68.0,5.0
22,1,2,3,1,105.5,10.4
18,0,4,3,1,79.3,6.5
56,1,0,0,1,68.5,11.5
49,0,4,0,1,107.3,9.1
5,1,2,0,1,95.4,11.2
49,1,4,1,1,76.6,13.0
11,0,4,0,2,71.9,17.1
18,1,2,3,2,74.8,5.0
43,0,3,3,1,67.4,14.9
54,1,0,1,1,98.9,15.1
17,0,3,3,2,107.0,15.8
26,0,2,0,2,70.6,17.5
52,1,1,3,2,99.8,10.3
20,0,3,0,0,64.6,19.7
40,1,1,3,2,106.5,19.1
31,0,4,2,0,65.5,8.7
27,1,2,3,2,100.6,9.7
46,0,0,3,0,81.7,15.3
16,0,2,3,2,78.6,15.7
15,1,0,2,1,71.1,15.9
2,0,2,2,1,77.1,19.0
40,0,2,1,2,92.4,17.7
41,1,2,0,1,98.9,6.7
38,1,2,2,2,74.7,16.1
24,1,3,2,1,83.1,17.4
34,0,2,2,1,86.7,13.2
44,0,1,1,1,108.8,14.9
14,0,4,2,0,97.8,16.8
50,0,0,0,1,70.1,12.8
33,1,3,2,2,100.1,19.8
58,0,3,3,0,74.9,18.3
47,1,4,3,2,73.3,17.5
46,1,2,3,1,66.9,5.2
24,1,2,3,2,81.2,7.8
14,0,1,2,0,74.5,9.5
22,1,2,0,0,80.5,14.7
3,1,0,1,1,73.8,17.0
41,0,0,1,2,67.2,14.3
20,0,1,2,0,107.6,13.5
51,1,2,2,0,97.6,14.5
32,1,3,2,0,64.3,5.1
44,1,0,2,1,104.5,11.4
57,0,1,3,0,93.5,18.8
20,1,2,0,1,109.7,6.1
19,0,3,3,0,67.1,19.8
41,1,0,3,1,99.9,9.1
44,1,4,0,2,91.7,15.4
41,0,3,0,2,70.3,19.6
5,0,0,3,1,96.1,18.1
1,0,1,0,2,101.8,11.3
28,1,4,0,2,103.1,15.0
12,1,2,0,0,87.1,6.7
1,1,4,1,0,62.0,16.7
59,0,3,1,1,73.3,9.6
57,0,3,2,1,84.4,17.7
46,0,0,3,2,60.2,14.6
6,1,2,2,1,73.9,7.2
15,0,2,2,1,94.9,19.3
10,1,0,3,2,97.0,12.4
27,1,3,0,0,106.7,18.5
59,0,0,1,0,77.2,18.1
39,0,2,2,1,65.5,8.9
41,0,3,0,2,66.0,14.2
56,0,1,1,2,93.8,13.2
43,1,1,2,1,79.3,16.7
55,0,4,3,1,108.1,5.5
25,1,0,1,0,104.8,8.7
0,0,4,1,0,92.1,6.7
11,0,0,2,1,108.1,13.1
53,0,2,3,1,104.7,11.4
3,1,1,3,1,105.6,17.2
50,1,2,0,1,101.5,11.4
20,1,4,1,2,83.8,18.9
53,0,0,0,2,98.0,12.6
51,0,1,1,0,106.5,6.7
32,1,4,2,0,85.0,7.9
35,0,3,0,2,107.4,16.4
43,1,0,0,2,89.1,13.9
57,1,1,0,0,80.0,19.2
0,0,2,2,0,91.3,17.8
24,0,3,0,2,78.7,7.1
53,0,1,0,2,75.1,19.4
19,1,1,0,2,75.1,13.5
21,0,2,1,1,97.5,13.1
58,0,2,0,0,66.9,18.2
42,1,4,3,0,63.5,8.9
30,0,1,0,1,88.1,9.5
55,1,3,0,2,80.6,11.9
42,1,0,0,1,61.7,14.6
11,1,0,0,2,82.0,14.0
58,1,3,0,1,83.4,19.9
9,1,0,0,1,86.9,19.1
20,0,1,3,2,84.6,7.8
2,0,0,2,0,106.1,8.6
58,1,0,0,1,97.3,16.8
32,1,1,2,2,108.0,11.4
16,0,0,3,2,108.6,8.8
6,0,1,1,0,76.8,19.3
42,1,3,1,2,99.6,7.5
13,0,2,2,1,86.1,15.4
50,0,4,1,1,67.6,9.6
24,1,4,1,2,81.9,16.7
28,0,4,3,1,93.7,10.7
46,1,2,0,0,97.0,9.8
40,0,0,3,0,60.1,19.5
9,0,1,0,2,61.9,9.5
22,1,3,2,1,89.7,7.9
59,0,0,0,0,66.2,6.1
13,0,4,1,2,109.9,8.5
38,0,2,1,1,97.6,18.3
6,0,0,3,0,65.7,6.8
31,0,3,2,0,102.2,12.3
23,1,2,3,0,99.8,10.4
36,1,1,3,2,75.8,9.2
47,1,0,0,2,95.5,6.3
11,0,0,3,0,60.8,14.3
27,1,3,0,1,73.7,8.1
3,1,1,0,2,62.8,6.7
31,0,4,2,2,62.3,15.4
30,0,0,0,0,91.0,17.9
7,0,4,0,1,82.0,17.3
28,0,1,2,2,83.1,18.8
19,1,0,3,2,60.0,10.1
17,0,4,3,1,66.5,6.9
55,1,0,0,1,105.2,13.4
24,0,3,2,0,75.7,17.7
11,0,3,0,2,82.0,19.8
38,1,4,3,0,65.3,8.4
15,0,2,2,0,77.4,8.8
55,1,0,0,1,79.5,7.4
22,1,3,1,0,92.1,7.4
40,0,4,2,0,75.4,6.2
41,1,4,0,1,60.8,13.5
24,0,2,1,1,76.2,18.5
56,0,4,2,1,70.5,19.5
53,1,3,0,1,85.7,13.6
36,1,0,2,1,99.8,18.0
33,1,1,0,1,67.7,7.6
13,1,1,3,1,70.5,14.2
31,1,0,2,1,99.4,17.0
27,0,4,1,0,61.3,16.6
9,0,4,1,1,82.6,13.3
19,1,4,2,2,97.1,9.5
4,1,1,0,1,83.9,10.5
46,1,3,1,1,98.7,11.7
6,1,1,2,2,72.0,13.3
53,0,1,1,0,65.3,12.1
34,0,2,3,1,79.6,17.9
48,0,3,1,0,94.1,9.4
4,0,2,3,2,101.8,11.0
2,0,4,0,1,60.0,10.8
39,1,4,0,1,81.7,7.1
50,1,4,1,0,101.8,17.3
53,0,2,2,1,96.6,10.1
4,1,0,1,0,94.2,14.7
46,0,0,0,0,106.3,15.1
11,1,4,0,2,89.4,13.4
25,1,4,0,2,76.6,17.0
51,1,2,0,1,92.3,5.0
47,1,2,0,0,61.2,13.7
42,1,2,3,0,88.0,20.0
33,0,1,2,2,92.6,12.6
44,0,2,3,1,83.6,19.5
59,0,2,0,2,72.8,5.1
27,0,2,3,2,83.2,9.1
50,1,1,0,2,82.4,11.3
27,1,4,2,2,95.5,19.6
34,0,0,0,1,103.2,14.8
30,1,3,1,2,84.3,19.8
0,0,0,1,0,104.2,16.8
51,1,4,1,1,101.7,9.2
31,1,1,0,2,88.8,16.1
48,1,1,1,0,81.3,19.3
2,1,4,2,2,86.0,15.2
12,0,2,0,0,108.9,5.5
26,1,3,1,1,62.4,12.5
11,1,4,2,2,86.9,7.8
50,0,3,2,2,92.2,10.0
58,1,4,1,2,90.1,11.6
15,1,3,1,0,74.6,10.6
14,1,3,0,0,90.2,7.9
54,0,1,1,2,64.6,19.5
9,0,2,3,2,105.2,7.3
31,1,0,1,0,64.4,19.3
58,1,0,1,2,94.8,6.4
29,0,3,3,0,107.7,19.4
47,0,3,3,0,90.7,9.6
11,0,3,2,1,108.2,6.0
38,0,2,0,1,69.1,8.5
57,1,3,3,0,79.1,18.3
56,0,0,0,2,63.0,14.0
5,1,1,2,1,95.8,18.6
21,1,4,3,2,87.6,10.6
59,1,1,1,1,97.7,16.9
30,0,1,1,2,106.0,7.0
19,0,1,0,2,71.3,9.0
21,1,1,1,1,83.5,5.0
46,0,0,0,0,95.8,19.4
49,0,4,1,1,81.4,15.8
0,1,0,0,1,66.5,8.8
9,1,1,0,0,93.4,9.0
23,0,0,1,2,105.7,15.0
22,0,3,0,2,74.2,12.2
1,1,0,3,2,96.8,17.7
15,0,0,1,1,66.7,19.6
54,1,4,0,1,106.4,7.2
20,1,1,3,2,72.2,13.6
55,1,0,0,0,67.8,8.3
27,0,2,0,1,98.5,7.5
59,1,3,2,1,100.8,9.9
41,1,2,2,0,77.6,16.5
6,1,2,3,2,83.8,12.2
3,1,4,3,1,90.7,14.9
57,0,1,2,0,79.3,7.9
55,0,2,3,2,61.1,6.3
55,0,1,3,2,87.3,11.9
49,0,0,3,2,87.7,8.3
54,1,2,2,2,79.8,16.0
56,1,0,0,2,70.2,10.9
54,0,0,0,0,81.3,5.5
26,1,0,1,2,108.3,9.1
14,0,0,1,1,83.7,9.7
27,0,1,1,2,93.3,10.4
28,0,3,3,2,75.4,6.2
7,0,3,2,2,90.4,11.1
22,0,0,1,0,91.3,9.0
39,0,4,0,0,90.0,18.8
25,0,0,0,1,107.3,9.8
4,0,1,0,2,74.3,16.4
28,0,2,3,1,95.7,8.1
25,0,1,3,0,98.6,16.9
27,0,2,0,0,71.7,11.7
23,0,1,0,2,91.3,18.8
55,0,0,1,1,91.1,10.7
46,0,4,0,0,76.0,12.8
48,1,1,3,1,64.2,8.8
56,1,4,1,0,64.9,14.2
21,1,0,3,2,62.1,12.1
43,0,3,1,2,96.1,11.8
39,0,4,1,0,97.3,14.8
31,1,4,3,2,76.3,8.9
19,1,1,0,1,75.3,13.8
54,0,2,2,2,88.7,18.4
59,0,4,2,0,75.8,6.4
20,0,1,1,1,71.7,17.9
40,1,1,3,1,79.7,14.2
30,0,2,1,1,86.5,8.8
59,0,3,2,1,93.4,13.8
50,0,0,2,0,96.4,9.8
23,0,1,3,1,66.6,16.6
58,0,3,0,2,98.2,16.6
48,0,1,0,1,101.3,14.4
6,1,1,0,0,98.4,12.6
8,1,3,2,0,74.9,10.0
43,1,4,3,0,88.2,6.6
30,1,1,2,0,63.3,17.9
23,0,3,3,1,79.6,10.9
39,1,0,2,0,88.3,6.6
49,0,1,3,0,74.4,17.4
2,0,0,2,0,62.6,7.9
24,1,0,0,0,91.9,17.0
26,1,3,2,2,62.5,17.1
50,1,0,2,0,61.8,7.8
1,1,1,0,2,96.8,13.6
48,0,3,3,2,84.1,9.8
54,0,0,3,1,95.3,15.6
10,0,4,1,2,95.2,8.7
20,1,0,2,1,64.6,18.3
42,0,2,0,1,63.4,17.1
46,0,2,2,0,99.2,19.1
5,0,0,1,0,63.0,17.6
18,0,0,1,1,95.2,8.5
6,0,4,1,2,75.2,16.9
49,1,4,0,1,80.7,14.9
40,0,4,0,2,105.3,11.0
40,0,4,0,2,79.4,5.8
18,0,0,2,2,64.1,6.6
52,1,0,2,1,71.7,6.5
19,0,2,3,0,78.6,6.2
30,1,3,3,1,69.2,6.2
32,0,3,2,1,81.6,13.3
11,1,4,2,1,105.0,10.6
34,1,2,0,1,100.9,17.5
19,0,4,1,0,67.2,11.2
20,0,2,1,0,88.6,9.5
43,0,3,1,1,98.5,9.0
36,0,4,2,2,64.3,6.6
49,0,0,0,2,64.6,9.7
56,1,2,0,1,77.7,15.2
42,0,0,3,0,95.0,19.6
7,1,3,2,0,102.5,11.5
54,0,0,2,2,73.2,8.2
49,1,4,0,1,78.1,13.9
31,1,2,2,0,85.3,13.9
34,0,4,3,0,64.5,15.0
