Actual Result,Predicted Result,Correct Prediction,Low Risk Probability,High Risk Probability
1,0,FALSE,0.746829239,0.253170761
0,0,TRUE,0.568686797,0.431313203
0,1,FALSE,0.471488889,0.528511111
0,1,FALSE,0.45059922,0.54940078
0,1,FALSE,0.233983333,0.766016667
1,1,TRUE,0.494166789,0.505833211
1,0,FALSE,0.710692063,0.289307937
0,0,TRUE,0.674564286,0.325435714
1,0,FALSE,0.503752237,0.496247763
0,1,FALSE,0.493075883,0.506924117
1,1,TRUE,0.453381602,0.546618398
1,0,FALSE,0.508643218,0.491356782
1,1,TRUE,0.418252381,0.581747619
0,0,TRUE,0.50861105,0.49138895
0,0,TRUE,0.545928938,0.454071062
0,1,FALSE,0.446666667,0.553333333
1,0,FALSE,0.546392063,0.453607937
0,1,FALSE,0.358969048,0.641030952
1,1,TRUE,0.398830375,0.601169625
1,0,FALSE,0.521590476,0.478409524
1,1,TRUE,0.461113199,0.538886801
1,1,TRUE,0.498619048,0.501380952
0,1,FALSE,0.282950716,0.717049284
0,0,TRUE,0.506919841,0.493080159
1,1,TRUE,0.497162693,0.502837307
1,1,TRUE,0.448663492,0.551336508
1,1,TRUE,0.469360551,0.530639449
1,0,FALSE,0.522154762,0.477845238
1,0,FALSE,0.525476068,0.474523932
1,1,TRUE,0.382798085,0.617201915
1,0,FALSE,0.553408333,0.446591667
1,0,FALSE,0.58469062,0.41530938
1,1,TRUE,0.441483333,0.558516667
0,1,FALSE,0.491830159,0.508169841
1,1,TRUE,0.378960695,0.621039305
0,1,FALSE,0.415105339,0.584894661
0,0,TRUE,0.646587951,0.353412049
0,1,FALSE,0.401886508,0.598113492
0,1,FALSE,0.380152331,0.619847669
0,0,TRUE,0.572147558,0.427852442
0,0,TRUE,0.693504779,0.306495221
0,1,FALSE,0.295116667,0.704883333
0,0,TRUE,0.670266919,0.329733081
0,1,FALSE,0.453460068,0.546539932
1,1,TRUE,0.490535714,0.509464286
0,0,TRUE,0.607874459,0.392125541
0,0,TRUE,0.571189683,0.428810317
0,1,FALSE,0.498163248,0.501836752
1,1,TRUE,0.285196753,0.714803247
0,1,FALSE,0.474024964,0.525975036
1,0,FALSE,0.507485642,0.492514358
1,0,FALSE,0.769530952,0.230469048
1,0,FALSE,0.627277717,0.372722283
1,1,TRUE,0.464834127,0.535165873
1,0,FALSE,0.591147744,0.408852256
0,1,FALSE,0.489385115,0.510614885
0,1,FALSE,0.338015512,0.661984488
0,1,FALSE,0.425885498,0.574114502
0,1,FALSE,0.441375144,0.558624856
0,0,TRUE,0.544280159,0.455719841
0,1,FALSE,0.377436508,0.622563492
1,0,FALSE,0.634006116,0.365993884
1,1,TRUE,0.368218759,0.631781241
1,1,TRUE,0.402151587,0.597848413
0,1,FALSE,0.397814069,0.602185931
1,1,TRUE,0.489467532,0.510532468
1,1,TRUE,0.449240476,0.550759524
1,1,TRUE,0.455770635,0.544229365
1,0,FALSE,0.550311472,0.449688528
0,1,FALSE,0.457221676,0.542778324
0,0,TRUE,0.578505556,0.421494444
